Season,team_id,slug
season-2023-2024,459,Wolverhampton Wanderers FC
season-2024-2025,459,Wolverhampton Wanderers FC
season-2023-2024,460,Fulham FC
season-2024-2025,460,Fulham FC
season-2023-2024,461,Aston Villa FC
season-2024-2025,461,Aston Villa FC
season-2023-2024,462,Liverpool FC
season-2024-2025,462,Liverpool FC
season-2023-2024,464,Manchester City FC
season-2024-2025,464,Manchester City FC
season-2023-2024,466,Newcastle United FC
season-2024-2025,466,Newcastle United FC
season-2023-2024,467,Arsenal FC
season-2024-2025,467,Arsenal FC
season-2023-2024,471,Chelsea FC
season-2024-2025,471,Chelsea FC
season-2023-2024,472,Tottenham Hotspur FC
season-2024-2025,472,Tottenham Hotspur FC
season-2023-2024,473,Everton FC
season-2024-2025,473,Everton FC
season-2023-2024,475,Manchester United FC
season-2024-2025,475,Manchester United FC
season-2023-2024,480,Sheffield United FC
season-2023-2024,481,Nottingham Forest FC
season-2024-2025,481,Nottingham Forest FC
season-2024-2025,489,Leicester City FC
season-2023-2024,492,Burnley FC
season-2023-2024,496,West Ham United FC
season-2024-2025,496,West Ham United FC
season-2023-2024,500,Brentford FC
season-2024-2025,500,Brentford FC
season-2023-2024,502,Luton Town FC
season-2024-2025,503,Ipswich Town FC
season-2024-2025,506,Southampton FC
season-2023-2024,508,Crystal Palace FC
season-2024-2025,508,Crystal Palace FC
season-2023-2024,510,Brighton & Hove Albion FC
season-2024-2025,510,Brighton & Hove Albion FC
season-2023-2024,2169,AFC Bournemouth
season-2024-2025,2169,AFC Bournemouth
